"","Candidates","Voters","Simulation","Agreement"
"1",10,100,1,0.86
"2",10,100,2,0.88
"3",10,100,3,0.84
"4",10,100,4,0.89
"5",10,100,5,0.84
"6",10,100,6,0.93
"7",10,100,7,0.9
"8",10,100,8,0.94
"9",10,100,9,0.92
"10",10,100,10,0.84
"11",10,100,11,0.9
"12",10,100,12,0.92
"13",10,100,13,0.94
"14",10,100,14,0.89
"15",10,100,15,0.89
"16",10,100,16,0.89
"17",10,100,17,0.9
"18",10,100,18,0.96
"19",10,100,19,0.93
"20",10,100,20,0.89
"21",10,100,21,0.9
"22",10,100,22,0.84
"23",10,100,23,0.91
"24",10,100,24,0.88
"25",10,100,25,0.94
"26",10,100,26,0.86
"27",10,100,27,0.92
"28",10,100,28,0.92
"29",10,100,29,0.91
"30",10,100,30,0.87
"31",10,100,31,0.92
"32",10,100,32,0.88
"33",10,100,33,0.88
"34",10,100,34,0.9
"35",10,100,35,0.92
"36",10,100,36,0.93
"37",10,100,37,0.87
"38",10,100,38,0.89
"39",10,100,39,0.92
"40",10,100,40,0.84
"41",10,100,41,0.91
"42",10,100,42,0.82
"43",10,100,43,0.93
"44",10,100,44,0.88
"45",10,100,45,0.85
"46",10,100,46,0.88
"47",10,100,47,0.89
"48",10,100,48,0.93
"49",10,100,49,0.88
"50",10,100,50,0.89
"51",10,100,51,0.93
"52",10,100,52,0.98
"53",10,100,53,0.85
"54",10,100,54,0.88
"55",10,100,55,0.89
"56",10,100,56,0.85
"57",10,100,57,0.91
"58",10,100,58,0.91
"59",10,100,59,0.92
"60",10,100,60,0.92
"61",10,100,61,0.9
"62",10,100,62,0.91
"63",10,100,63,0.92
"64",10,100,64,0.94
"65",10,100,65,0.87
"66",10,100,66,0.9
"67",10,100,67,0.88
"68",10,100,68,0.92
"69",10,100,69,0.92
"70",10,100,70,0.94
"71",10,100,71,0.92
"72",10,100,72,0.94
"73",10,100,73,0.92
"74",10,100,74,0.94
"75",10,100,75,0.91
"76",10,100,76,0.9
"77",10,100,77,0.89
"78",10,100,78,0.96
"79",10,100,79,0.82
"80",10,100,80,0.89
"81",10,100,81,0.96
"82",10,100,82,0.92
"83",10,100,83,0.93
"84",10,100,84,0.89
"85",10,100,85,0.93
"86",10,100,86,0.88
"87",10,100,87,0.89
"88",10,100,88,0.93
"89",10,100,89,0.89
"90",10,100,90,0.92
"91",10,100,91,0.87
"92",10,100,92,0.94
"93",10,100,93,0.92
"94",10,100,94,0.87
"95",10,100,95,0.94
"96",10,100,96,0.88
"97",10,100,97,0.93
"98",10,100,98,0.85
"99",10,100,99,0.9
"100",10,100,100,0.92
"101",10,1000,1,0.97
"102",10,1000,2,0.93
"103",10,1000,3,0.93
"104",10,1000,4,0.93
"105",10,1000,5,0.94
"106",10,1000,6,0.94
"107",10,1000,7,0.95
"108",10,1000,8,0.93
"109",10,1000,9,0.92
"110",10,1000,10,0.99
"111",10,1000,11,0.92
"112",10,1000,12,0.91
"113",10,1000,13,0.99
"114",10,1000,14,0.97
"115",10,1000,15,0.95
"116",10,1000,16,0.94
"117",10,1000,17,0.97
"118",10,1000,18,0.92
"119",10,1000,19,0.97
"120",10,1000,20,0.96
"121",10,1000,21,0.97
"122",10,1000,22,0.98
"123",10,1000,23,0.94
"124",10,1000,24,0.95
"125",10,1000,25,0.93
"126",10,1000,26,0.96
"127",10,1000,27,0.97
"128",10,1000,28,0.91
"129",10,1000,29,0.96
"130",10,1000,30,0.97
"131",10,1000,31,0.92
"132",10,1000,32,0.97
"133",10,1000,33,0.92
"134",10,1000,34,0.99
"135",10,1000,35,0.95
"136",10,1000,36,0.96
"137",10,1000,37,0.96
"138",10,1000,38,0.94
"139",10,1000,39,0.98
"140",10,1000,40,0.98
"141",10,1000,41,0.98
"142",10,1000,42,0.95
"143",10,1000,43,0.96
"144",10,1000,44,0.94
"145",10,1000,45,0.95
"146",10,1000,46,0.95
"147",10,1000,47,0.98
"148",10,1000,48,0.9
"149",10,1000,49,0.95
"150",10,1000,50,0.93
"151",10,1000,51,0.95
"152",10,1000,52,0.97
"153",10,1000,53,0.94
"154",10,1000,54,0.96
"155",10,1000,55,0.96
"156",10,1000,56,0.98
"157",10,1000,57,0.96
"158",10,1000,58,0.95
"159",10,1000,59,0.96
"160",10,1000,60,0.95
"161",10,1000,61,0.91
"162",10,1000,62,0.96
"163",10,1000,63,0.95
"164",10,1000,64,0.95
"165",10,1000,65,0.95
"166",10,1000,66,0.98
"167",10,1000,67,0.97
"168",10,1000,68,0.99
"169",10,1000,69,0.96
"170",10,1000,70,0.99
"171",10,1000,71,0.98
"172",10,1000,72,0.98
"173",10,1000,73,0.97
"174",10,1000,74,0.95
"175",10,1000,75,0.97
"176",10,1000,76,0.95
"177",10,1000,77,0.96
"178",10,1000,78,0.99
"179",10,1000,79,0.96
"180",10,1000,80,0.95
"181",10,1000,81,0.95
"182",10,1000,82,0.97
"183",10,1000,83,0.94
"184",10,1000,84,0.94
"185",10,1000,85,0.99
"186",10,1000,86,0.96
"187",10,1000,87,0.94
"188",10,1000,88,0.96
"189",10,1000,89,0.99
"190",10,1000,90,0.98
"191",10,1000,91,0.97
"192",10,1000,92,0.96
"193",10,1000,93,0.96
"194",10,1000,94,0.98
"195",10,1000,95,0.98
"196",10,1000,96,0.98
"197",10,1000,97,0.94
"198",10,1000,98,0.95
"199",10,1000,99,0.96
"200",10,1000,100,0.97
"201",10,10000,1,1
"202",10,10000,2,0.99
"203",10,10000,3,1
"204",10,10000,4,1
"205",10,10000,5,1
"206",10,10000,6,1
"207",10,10000,7,1
"208",10,10000,8,1
"209",10,10000,9,1
"210",10,10000,10,1
"211",10,10000,11,1
"212",10,10000,12,1
"213",10,10000,13,1
"214",10,10000,14,0.99
"215",10,10000,15,1
"216",10,10000,16,1
"217",10,10000,17,1
"218",10,10000,18,1
"219",10,10000,19,1
"220",10,10000,20,1
"221",10,10000,21,0.99
"222",10,10000,22,0.99
"223",10,10000,23,1
"224",10,10000,24,1
"225",10,10000,25,1
"226",10,10000,26,1
"227",10,10000,27,1
"228",10,10000,28,1
"229",10,10000,29,1
"230",10,10000,30,1
"231",10,10000,31,1
"232",10,10000,32,1
"233",10,10000,33,0.99
"234",10,10000,34,1
"235",10,10000,35,1
"236",10,10000,36,1
"237",10,10000,37,1
"238",10,10000,38,1
"239",10,10000,39,1
"240",10,10000,40,1
"241",10,10000,41,1
"242",10,10000,42,1
"243",10,10000,43,1
"244",10,10000,44,1
"245",10,10000,45,1
"246",10,10000,46,1
"247",10,10000,47,0.99
"248",10,10000,48,1
"249",10,10000,49,1
"250",10,10000,50,1
"251",10,10000,51,1
"252",10,10000,52,1
"253",10,10000,53,1
"254",10,10000,54,1
"255",10,10000,55,1
"256",10,10000,56,1
"257",10,10000,57,1
"258",10,10000,58,0.99
"259",10,10000,59,1
"260",10,10000,60,1
"261",10,10000,61,1
"262",10,10000,62,0.99
"263",10,10000,63,1
"264",10,10000,64,1
"265",10,10000,65,1
"266",10,10000,66,1
"267",10,10000,67,1
"268",10,10000,68,1
"269",10,10000,69,1
"270",10,10000,70,0.99
"271",10,10000,71,1
"272",10,10000,72,1
"273",10,10000,73,1
"274",10,10000,74,0.99
"275",10,10000,75,1
"276",10,10000,76,1
"277",10,10000,77,1
"278",10,10000,78,0.99
"279",10,10000,79,0.99
"280",10,10000,80,1
"281",10,10000,81,0.99
"282",10,10000,82,1
"283",10,10000,83,1
"284",10,10000,84,1
"285",10,10000,85,1
"286",10,10000,86,1
"287",10,10000,87,1
"288",10,10000,88,1
"289",10,10000,89,0.99
"290",10,10000,90,0.99
"291",10,10000,91,1
"292",10,10000,92,0.99
"293",10,10000,93,1
"294",10,10000,94,1
"295",10,10000,95,1
"296",10,10000,96,1
"297",10,10000,97,1
"298",10,10000,98,1
"299",10,10000,99,1
"300",10,10000,100,1
